month_id,orders,orders_lm,orders_ly,revenue,revenue_lm,revenue_ly
2017-01-01,789,,,120312.86980295181,,
2017-02-01,1733,789,,247303.01981592178,120312.86980295181,
2017-03-01,2641,1733,,374344.299495697,247303.01981592178,
2017-04-01,2391,2641,,359927.2297129631,374344.299495697,
2017-05-01,3660,2391,,506071.1393017769,359927.2297129631,
2017-06-01,3217,3660,,433038.60011410713,506071.1393017769,
2017-07-01,3969,3217,,498031.48038721085,433038.60011410713,
2017-08-01,4293,3969,,573971.680464983,498031.48038721085,
2017-09-01,4243,4293,,624401.6894173622,573971.680464983,
2017-10-01,4568,4243,,664219.4300069809,624401.6894173622,
2017-11-01,7451,4568,,1010271.3711986542,664219.4300069809,
2017-12-01,5624,7451,,743914.1697883606,1010271.3711986542,
2018-01-01,7220,5624,789,950030.3613476753,743914.1697883606,120312.86980295181
2018-02-01,6694,7220,1733,844178.7113192081,950030.3613476753,247303.01981592178
2018-03-01,7188,6694,2641,983213.441423893,844178.7113192081,374344.299495697
2018-04-01,6934,7188,2391,996647.7493780851,983213.441423893,359927.2297129631
2018-05-01,6853,6934,3660,996517.6797070503,996647.7493780851,506071.1393017769
2018-06-01,6160,6853,3217,865124.3094670773,996517.6797070503,433038.60011410713
2018-07-01,6273,6160,3969,895507.2201066017,865124.3094670773,498031.48038721085
2018-08-01,6452,6273,4293,854686.3296773434,895507.2201066017,573971.680464983
